Gene
ADA
SH2B3
MEF2B
IGLL5
UBA2
CDH11
RAD50
CDK4
CDKN1A
CDKN1B
CDKN1C
CDKN2A
SF3A1
CDKN2C
TCIRG1
IKZF1
KLF2
NDRG1
HAX1
MAD2L2
HOXB13
NXF1
SEC23B
CEBPA
PRPF8
KLF1
CTCF
GNA13
STAG2
CTSC
CHD2
CHD4
ADAMTS13
WIF1
CHEK2
RPL35
HPS5
SP140
LYST
VPS45
U2AF2
MYSM1
ADD3
TPP1
LRIG3
CCR4
DIS3L2
KLF6
DNAJC21
CREBBP
CSF1R
CSF2RA
CSF3R
CDAN1
CTLA4
CUX1
CYLD
VPS13B
FAM47A
DAXX
SPRED1
DDB2
RNF168
DHX15
ZNF384
ASXL1
DKC1
DNAH5
DNAH9
DNM2
DNMT1
DNMT3A
DTX1
EBF1
EGFR
ARID2
ELANE
KLHDC8B
FLCN
UNC13D
EP300
AK2
EPOR
ERBB2
ERBB4
ERCC1
ERCC2
AKT1
ERCC3
ERCC4
ERCC5
ERG
ALAS2
ETV6
MECOM
EXT1
EXT2
EZH2
FANCA
FANCC
FANCD2
FANCE
FANCB
FANCF
FANCG
SAMD9L
FAT1
FGFR1
FGFR3
FGFR2
FH
FHIT
IKZF3
ANKRD26
DIS3
SHANK2
NT5C2
SPEN
FOXO1
FOXO3
FLI1
NBEAL2
FLT3
CAMTA1
MGA
SYNE1
ARHGEF12
DICER1
SF3B1
BRD4
TNFRSF13B
SUZ12
CBLC
IL17RA
ALK
ABL1
FYB1
FYN
SLC37A4
PRPF40B
GALE
NIPBL
RPL36
POT1
SAMHD1
SETBP1
GATA1
GATA2
GATA3
BLOC1S6
TINF2
GBA1
GREM1
GFI1
ABL2
MLH3
FOXP1
GPC3
PCLO
GNAS
GNB1
GP1BA
GP1BB
GP9
LAMTOR2
SETD2
UBE2T
DROSHA
MSH6
TLX3
H1-4
HCLS1
HNRNPK
TLX1
HOXA11
APC
HPS1
AIRE
HRAS
BIRC3
XIAP
IRF8
BRINP3
ID3
IDH1
IDH2
SLFN14
IFNGR2
IGF2R
FAS
FASLG
IL2RG
IL7R
CXCR2
INPP5D
IRF4
ITGA2B
ITGB3
ITK
JAK1
JAK2
JAK3
FAM111B
ERCC6L2
KDR
KIT
KRAS
RHOA
BLOC1S3
LCK
LIG4
LLGL2
LMO2
SH2D1A
EPCAM
SMAD4
MAF
MAX
MEN1
MET
KITLG
MITF
MLH1
KMT2A
FOXO4
MN1
MPL
MRE11
MSH2
MUC1
MUTYH
MYB
MYC
MYCN
MYD88
MYH9
MYO5A
NBN
ATM
NF1
NF2
NFKBIE
NOTCH1
NOTCH2
NPAT
NPM1
NRAS
NTHL1
NTRK1
NTRK3
NUP98
PARN
PAX5
SBDS
LEF1
WAC
ZBTB7A
UBR5
DDX41
GSKIP
PDGFRA
PDGFRB
LUC7L2
SUFU
RTEL1
ADA2
PGM3
PIGA
PIM1
PIK3CD
PIK3R1
PLCG1
PLCG2
PML
PMS1
PMS2
CYCS
POLD1
POLE
POLH
TERF2IP
ATR
DHX29
ATRX
TET2
SAMD9
BCOR
NSUN2
SDHAF2
ATG2B
FANCL
WRAP53
RFWD3
RIF1
PBRM1
FANCI
ASXL2
FBXW7
ETNK1
NOP10
PRF1
ZCCHC8
NHP2
TMEM127
NLRP2
PRKACG
ATF7IP
PRKAR1A
PRKCB
MAP2K1
MAP2K2
PRPS1
RELN
PSMB5
PRDM9
PTCH1
PTEN
BIRC6
ARID1B
MRTFA
FANCM
PTPN2
PTPN11
PTPRD
PTPRJ
BARD1
KMT2C
RAB27A
RAC2
RAD21
RAD51
RAD51C
RAD51D
RAF1
RAG1
RASA2
RB1
RBBP6
CCND1
BCL2
RECQL
REST
ACTB
RIT1
RMRP
BCL6
ROS1
RPL5
RPL10
RPL11
RPL15
RPL18
RPL22
RPL26
RPL27
RPL31
RPL35A
RPS7
RPS10
RPS15
RPS17
RPS19
RPS20
RPS24
RPS26
RPS27
RPS27A
RPS28
RPS29
RRAS
BCORL1
SDHA
PRDM1
SDHB
SDHC
SDHD
BLM
LRRC4
CRLF2
MAP2K4
SRSF2
NSD1
BCL11B
ACD
BMPR1A
SMARCA2
HLTF
SMARCA4
SMARCB1
SMARCD2
SMO
SOS1
SOS2
SPI1
SRC
BRCA1
SRP54
BRAF
SRP72
BRCA2
STAT3
STAT5B
ZFP36L2
STIM1
STK11
STXBP2
SYK
TAL1
TAFAZZIN
TCF4
HNF1A
TCF3
TCF7
TCF7L2
BTG1
BTK
BUB1B
TERC
TERT
TFE3
THPO
NKX2-1
TNFAIP3
TP53
TRAF3
TSC1
TSC2
TYK2
U2AF1
UROS
KDM6A
VAV1
VHL
VWF
WAS
WIPF1
NSD2
WRN
WT1
XBP1
XPA
XPC
XPO1
XRCC2
SF1
ZBTB16
ZNF217
LAPTM5
CXCR4
USP7
DDX54
BRCC3
CDC73
EFL1
FAT4
USB1
RHBDF2
TBL1XR1
PALB2
HPS6
GRHL2
STN1
NR4A3
CTC1
FBXO11
MLLT10
NCOA4
SHOC2
KMT2D
TUBB1
CALR
CLPB
DOCK8
SBF2
LZTR1
ZRSR2
USP9X
SMC1A
ARID1A
AXIN2
BAP1
GFI1B
H3C11
BRIP1
MAGT1
DTNBP1
CASP8
PHF6
CASP10
HVCN1
HPS3
CARD11
SLX4
JAGN1
CDIN1
PPM1D
MASTL
AP3B1
RUNX1
CBFA2T3
CBFB
SOCS1
CBL
STX11
CBLB
ACTN1
EED
TNFRSF14
FADD
TRIM24
BCL10
PHOX2B
MBD4
CCND3
HPS4
KLHL6
TSR2
MAP3K14
AIP
SMC3
EXO1
NAF1
G6PC3
MFHAS1
NAPRT
RPL23
CD27
RECQL5
RECQL4
KIF23
CD40LG
NCOR1
CD70
CEP57
DHX34
CD79A
CD79B
TOX
MAML1
GINS1
ZEB2
SETDB1
MAFB
RBM8A
WDR1
MED12
CDH1
