USI,Cohort,eaf.max
HG00371,HGDP + 1KG,EUR
HG00372,HGDP + 1KG,EUR
HG00373,HGDP + 1KG,EUR
HG00375,HGDP + 1KG,EUR
HG00376,HGDP + 1KG,EUR
HG00378,HGDP + 1KG,EUR
HG00379,HGDP + 1KG,EUR
HG00380,HGDP + 1KG,EUR
HG00381,HGDP + 1KG,EUR
HG00382,HGDP + 1KG,EUR
HG00383,HGDP + 1KG,EUR
HG00384,HGDP + 1KG,EUR
HG00403,HGDP + 1KG,EAS
HG00404,HGDP + 1KG,EAS
HG00406,HGDP + 1KG,EAS
HG00407,HGDP + 1KG,EAS
HG00409,HGDP + 1KG,EAS
HG00410,HGDP + 1KG,EAS
HG00419,HGDP + 1KG,EAS
HG00421,HGDP + 1KG,EAS
HG00422,HGDP + 1KG,EAS
HG00427,HGDP + 1KG,EAS
HG00428,HGDP + 1KG,EAS
HG00436,HGDP + 1KG,EAS
HG00437,HGDP + 1KG,EAS
HG00442,HGDP + 1KG,EAS
HG00443,HGDP + 1KG,EAS
HG00445,HGDP + 1KG,EAS
HG00446,HGDP + 1KG,EAS
HG00448,HGDP + 1KG,EAS
HG00449,HGDP + 1KG,EAS
HG00451,HGDP + 1KG,EAS
HG00452,HGDP + 1KG,EAS
HG00457,HGDP + 1KG,EAS
HG00458,HGDP + 1KG,EAS
HG00463,HGDP + 1KG,EAS
HG00464,HGDP + 1KG,EAS
HG00472,HGDP + 1KG,EAS
HG00473,HGDP + 1KG,EAS
HG00477,HGDP + 1KG,EAS
HG00478,HGDP + 1KG,EAS
HG00479,HGDP + 1KG,EAS
HG00500,HGDP + 1KG,EAS
HG00501,HGDP + 1KG,EAS
HG00513,HGDP + 1KG,EAS
HG00525,HGDP + 1KG,EAS
HG00530,HGDP + 1KG,EAS
HG00531,HGDP + 1KG,EAS
HG00533,HGDP + 1KG,EAS
HG00534,HGDP + 1KG,EAS
HG00536,HGDP + 1KG,EAS
HG00537,HGDP + 1KG,EAS
HG00542,HGDP + 1KG,EAS
HG00543,HGDP + 1KG,EAS
HG00551,HGDP + 1KG,AMR
HG00553,HGDP + 1KG,AMR
HG00554,HGDP + 1KG,AMR
HG00556,HGDP + 1KG,EAS
HG00557,HGDP + 1KG,EAS
HG00559,HGDP + 1KG,EAS
HG00560,HGDP + 1KG,EAS
HG00565,HGDP + 1KG,EAS
HG00566,HGDP + 1KG,EAS
HG00580,HGDP + 1KG,EAS
HG00583,HGDP + 1KG,EAS
HG00584,HGDP + 1KG,EAS
HG00589,HGDP + 1KG,EAS
HG00590,HGDP + 1KG,EAS
HG00592,HGDP + 1KG,EAS
HG00593,HGDP + 1KG,EAS
HG00596,HGDP + 1KG,EAS
HG00598,HGDP + 1KG,EAS
HG00599,HGDP + 1KG,EAS
HG00607,HGDP + 1KG,EAS
HG00608,HGDP + 1KG,EAS
HG00610,HGDP + 1KG,EAS
HG00611,HGDP + 1KG,EAS
HG00613,HGDP + 1KG,EAS
HG00614,HGDP + 1KG,EAS
HG00619,HGDP + 1KG,EAS
HG00620,HGDP + 1KG,EAS
HG00622,HGDP + 1KG,EAS
HG00623,HGDP + 1KG,EAS
HG00625,HGDP + 1KG,EAS
HG00626,HGDP + 1KG,EAS
HG00628,HGDP + 1KG,EAS
HG00629,HGDP + 1KG,EAS
HG00631,HGDP + 1KG,EAS
HG00632,HGDP + 1KG,EAS
HG00636,HGDP + 1KG,EAS
HG00637,HGDP + 1KG,AMR
HG00638,HGDP + 1KG,AMR
HG00640,HGDP + 1KG,AMR
HG00641,HGDP + 1KG,AMR
HG00650,HGDP + 1KG,EAS
HG00651,HGDP + 1KG,EAS
HG00653,HGDP + 1KG,EAS
HG00654,HGDP + 1KG,EAS
HG00656,HGDP + 1KG,EAS
HG00657,HGDP + 1KG,EAS
HG00662,HGDP + 1KG,EAS
HG00663,HGDP + 1KG,EAS
HG00671,HGDP + 1KG,EAS
HG00672,HGDP + 1KG,EAS
HG00674,HGDP + 1KG,EAS
HG00675,HGDP + 1KG,EAS
HG00683,HGDP + 1KG,EAS
HG00684,HGDP + 1KG,EAS
HG00689,HGDP + 1KG,EAS
HG00690,HGDP + 1KG,EAS
HG00692,HGDP + 1KG,EAS
HG00693,HGDP + 1KG,EAS
HG00698,HGDP + 1KG,EAS
HG00699,HGDP + 1KG,EAS
HG00701,HGDP + 1KG,EAS
HG00704,HGDP + 1KG,EAS
HG00705,HGDP + 1KG,EAS
HG00707,HGDP + 1KG,EAS
HG00708,HGDP + 1KG,EAS
HG00717,HGDP + 1KG,EAS
HG00728,HGDP + 1KG,EAS
HG00729,HGDP + 1KG,EAS
HG00731,HGDP + 1KG,AMR
HG00732,HGDP + 1KG,AMR
HG00734,HGDP + 1KG,AMR
HG00736,HGDP + 1KG,AMR
HG00737,HGDP + 1KG,AMR
HG00739,HGDP + 1KG,AMR
HG00740,HGDP + 1KG,AMR
HG00742,HGDP + 1KG,AMR
HG00743,HGDP + 1KG,AMR
HG00759,HGDP + 1KG,EAS
HG00766,HGDP + 1KG,EAS
HG00844,HGDP + 1KG,EAS
HG00864,HGDP + 1KG,EAS
HG00867,HGDP + 1KG,EAS
HG00879,HGDP + 1KG,EAS
HG00881,HGDP + 1KG,EAS
HG00956,HGDP + 1KG,EAS
HG00978,HGDP + 1KG,EAS
HG00982,HGDP + 1KG,EAS
HG01028,HGDP + 1KG,EAS
HG01029,HGDP + 1KG,EAS
HG01031,HGDP + 1KG,EAS
HG01046,HGDP + 1KG,EAS
HG01047,HGDP + 1KG,AMR
HG01048,HGDP + 1KG,AMR
HG01049,HGDP + 1KG,AMR
HG01051,HGDP + 1KG,AMR
HG01052,HGDP + 1KG,AMR
HG01054,HGDP + 1KG,AMR
HG01055,HGDP + 1KG,AMR
HG01058,HGDP + 1KG,AMR
HG01060,HGDP + 1KG,AMR
HG01061,HGDP + 1KG,AMR
HG01064,HGDP + 1KG,AMR
HG01066,HGDP + 1KG,AMR
HG01067,HGDP + 1KG,AMR
HG01069,HGDP + 1KG,AMR
HG01070,HGDP + 1KG,AMR
HG01072,HGDP + 1KG,AMR
HG01073,HGDP + 1KG,AMR
HG01075,HGDP + 1KG,AMR
HG01077,HGDP + 1KG,AMR
HG01079,HGDP + 1KG,AMR
HG01080,HGDP + 1KG,AMR
HG01082,HGDP + 1KG,AMR
HG01083,HGDP + 1KG,AMR
HG01085,HGDP + 1KG,AMR
HG01088,HGDP + 1KG,AMR
HG01089,HGDP + 1KG,AMR
HG01092,HGDP + 1KG,AMR
HG01094,HGDP + 1KG,AMR
HG01095,HGDP + 1KG,AMR
HG01097,HGDP + 1KG,AMR
HG01098,HGDP + 1KG,AMR
HG01101,HGDP + 1KG,AMR
HG01102,HGDP + 1KG,AMR
HG01104,HGDP + 1KG,AMR
HG01105,HGDP + 1KG,AMR
HG01107,HGDP + 1KG,AMR
HG01110,HGDP + 1KG,AMR
HG01111,HGDP + 1KG,AMR
HG01112,HGDP + 1KG,AMR
HG01113,HGDP + 1KG,AMR
HG01119,HGDP + 1KG,AMR
HG01121,HGDP + 1KG,AMR
HG01122,HGDP + 1KG,AMR
HG01124,HGDP + 1KG,AMR
HG01125,HGDP + 1KG,AMR
HG01130,HGDP + 1KG,AMR
HG01131,HGDP + 1KG,AMR
HG01133,HGDP + 1KG,AMR
HG01134,HGDP + 1KG,AMR
HG01136,HGDP + 1KG,AMR
HG01139,HGDP + 1KG,AMR
HG01140,HGDP + 1KG,AMR
HG01142,HGDP + 1KG,AMR
HG01148,HGDP + 1KG,AMR
HG01149,HGDP + 1KG,AMR
HG01161,HGDP + 1KG,AMR
HG01162,HGDP + 1KG,AMR
HG01164,HGDP + 1KG,AMR
HG01167,HGDP + 1KG,AMR
HG01168,HGDP + 1KG,AMR
HG01170,HGDP + 1KG,AMR
HG01171,HGDP + 1KG,AMR
HG01173,HGDP + 1KG,AMR
HG01174,HGDP + 1KG,AMR
HG01176,HGDP + 1KG,AMR
HG01177,HGDP + 1KG,AMR
HG01182,HGDP + 1KG,AMR
HG01183,HGDP + 1KG,AMR
HG01187,HGDP + 1KG,AMR
HG01188,HGDP + 1KG,AMR
HG01190,HGDP + 1KG,AMR
HG01191,HGDP + 1KG,AMR
HG01197,HGDP + 1KG,AMR
HG01198,HGDP + 1KG,AMR
HG01200,HGDP + 1KG,AMR
HG01204,HGDP + 1KG,AMR
HG01205,HGDP + 1KG,AMR
HG01247,HGDP + 1KG,AMR
HG01248,HGDP + 1KG,AMR
HG01250,HGDP + 1KG,AMR
HG01251,HGDP + 1KG,AMR
HG01253,HGDP + 1KG,AMR
HG01254,HGDP + 1KG,AMR
HG01256,HGDP + 1KG,AMR
HG01257,HGDP + 1KG,AMR
HG01259,HGDP + 1KG,AMR
HG01260,HGDP + 1KG,AMR
HG01269,HGDP + 1KG,AMR
HG01271,HGDP + 1KG,AMR
HG01272,HGDP + 1KG,AMR
HG01274,HGDP + 1KG,AMR
HG01275,HGDP + 1KG,AMR
HG01277,HGDP + 1KG,AMR
HG01278,HGDP + 1KG,AMR
HG01280,HGDP + 1KG,AMR
HG01281,HGDP + 1KG,AMR
HG01284,HGDP + 1KG,AMR
HG01286,HGDP + 1KG,AMR
HG01302,HGDP + 1KG,AMR
HG01303,HGDP + 1KG,AMR
HG01305,HGDP + 1KG,AMR
HG01308,HGDP + 1KG,AMR
HG01311,HGDP + 1KG,AMR
HG01312,HGDP + 1KG,AMR
HG01323,HGDP + 1KG,AMR
HG01325,HGDP + 1KG,AMR
HG01326,HGDP + 1KG,AMR
HG01334,HGDP + 1KG,EUR
HG01341,HGDP + 1KG,AMR
HG01342,HGDP + 1KG,AMR
HG01344,HGDP + 1KG,AMR
HG01345,HGDP + 1KG,AMR
HG01349,HGDP + 1KG,AMR
HG01350,HGDP + 1KG,AMR
HG01351,HGDP + 1KG,AMR
HG01353,HGDP + 1KG,AMR
HG01354,HGDP + 1KG,AMR
HG01356,HGDP + 1KG,AMR
HG01357,HGDP + 1KG,AMR
HG01359,HGDP + 1KG,AMR
HG01360,HGDP + 1KG,AMR
HG01362,HGDP + 1KG,AMR
HG01363,HGDP + 1KG,AMR
HG01367,HGDP + 1KG,AMR
HG01369,HGDP + 1KG,AMR
HG01372,HGDP + 1KG,AMR
HG01374,HGDP + 1KG,AMR
HG01375,HGDP + 1KG,AMR
HG01377,HGDP + 1KG,AMR
HG01378,HGDP + 1KG,AMR
HG01383,HGDP + 1KG,AMR
HG01384,HGDP + 1KG,AMR
HG01389,HGDP + 1KG,AMR
HG01390,HGDP + 1KG,AMR
HG01392,HGDP + 1KG,AMR
HG01393,HGDP + 1KG,AMR
HG01395,HGDP + 1KG,AMR
HG01396,HGDP + 1KG,AMR
HG01398,HGDP + 1KG,AMR
HG01402,HGDP + 1KG,AMR
HG01403,HGDP + 1KG,AMR
HG01405,HGDP + 1KG,AMR
HG01412,HGDP + 1KG,AMR
HG01413,HGDP + 1KG,AMR
HG01414,HGDP + 1KG,AMR
HG01431,HGDP + 1KG,AMR
HG01432,HGDP + 1KG,AMR
HG01435,HGDP + 1KG,AMR
HG01437,HGDP + 1KG,AMR
HG01440,HGDP + 1KG,AMR
HG01441,HGDP + 1KG,AMR
HG01443,HGDP + 1KG,AMR
HG01444,HGDP + 1KG,AMR
HG01447,HGDP + 1KG,AMR
HG01455,HGDP + 1KG,AMR
HG01456,HGDP + 1KG,AMR
HG01459,HGDP + 1KG,AMR
HG01461,HGDP + 1KG,AMR
HG01462,HGDP + 1KG,AMR
HG01464,HGDP + 1KG,AMR
HG01465,HGDP + 1KG,AMR
HG01468,HGDP + 1KG,AMR
HG01474,HGDP + 1KG,AMR
HG01479,HGDP + 1KG,AMR
HG01485,HGDP + 1KG,AMR
HG01486,HGDP + 1KG,AMR
HG01488,HGDP + 1KG,AMR
HG01489,HGDP + 1KG,AMR
HG01491,HGDP + 1KG,AMR
HG01492,HGDP + 1KG,AMR
HG01494,HGDP + 1KG,AMR
HG01495,HGDP + 1KG,AMR
HG01497,HGDP + 1KG,AMR
HG01498,HGDP + 1KG,AMR
HG01500,HGDP + 1KG,EUR
HG01501,HGDP + 1KG,EUR
HG01503,HGDP + 1KG,EUR
HG01504,HGDP + 1KG,EUR
HG01506,HGDP + 1KG,EUR
HG01507,HGDP + 1KG,EUR
HG01509,HGDP + 1KG,EUR
HG01510,HGDP + 1KG,EUR
HG01512,HGDP + 1KG,EUR
HG01513,HGDP + 1KG,EUR
HG01515,HGDP + 1KG,EUR
HG01516,HGDP + 1KG,EUR
HG01518,HGDP + 1KG,EUR
HG01519,HGDP + 1KG,EUR
HG01521,HGDP + 1KG,EUR
HG01522,HGDP + 1KG,EUR
HG01524,HGDP + 1KG,EUR
HG01525,HGDP + 1KG,EUR
HG01527,HGDP + 1KG,EUR
HG01528,HGDP + 1KG,EUR
HG01530,HGDP + 1KG,EUR
HG01531,HGDP + 1KG,EUR
HG01536,HGDP + 1KG,EUR
HG01537,HGDP + 1KG,EUR
HG01550,HGDP + 1KG,AMR
HG01551,HGDP + 1KG,AMR
HG01556,HGDP + 1KG,AMR
HG01565,HGDP + 1KG,AMR
HG01566,HGDP + 1KG,AMR
HG01571,HGDP + 1KG,AMR
HG01572,HGDP + 1KG,AMR
HG01577,HGDP + 1KG,AMR
HG01578,HGDP + 1KG,AMR
HG01583,HGDP + 1KG,CSA
HG01586,HGDP + 1KG,CSA
HG01589,HGDP + 1KG,CSA
HG01593,HGDP + 1KG,CSA
HG01595,HGDP + 1KG,EAS
HG01596,HGDP + 1KG,EAS
HG01597,HGDP + 1KG,EAS
HG01598,HGDP + 1KG,EAS
HG01599,HGDP + 1KG,EAS
HG01600,HGDP + 1KG,EAS
HG01602,HGDP + 1KG,EUR
HG01603,HGDP + 1KG,EUR
HG01605,HGDP + 1KG,EUR
HG01606,HGDP + 1KG,EUR
HG01607,HGDP + 1KG,EUR
HG01608,HGDP + 1KG,EUR
HG01610,HGDP + 1KG,EUR
HG01612,HGDP + 1KG,EUR
HG01613,HGDP + 1KG,EUR
HG01615,HGDP + 1KG,EUR
HG01617,HGDP + 1KG,EUR
HG01618,HGDP + 1KG,EUR
HG01619,HGDP + 1KG,EUR
HG01620,HGDP + 1KG,EUR
HG01623,HGDP + 1KG,EUR
HG01624,HGDP + 1KG,EUR
HG01625,HGDP + 1KG,EUR
HG01626,HGDP + 1KG,EUR
HG01631,HGDP + 1KG,EUR
HG01632,HGDP + 1KG,EUR
HG01668,HGDP + 1KG,EUR
HG01669,HGDP + 1KG,EUR
HG01670,HGDP + 1KG,EUR
HG01672,HGDP + 1KG,EUR
HG01673,HGDP + 1KG,EUR
HG01675,HGDP + 1KG,EUR
HG01676,HGDP + 1KG,EUR
HG01678,HGDP + 1KG,EUR
HG01679,HGDP + 1KG,EUR
HG01680,HGDP + 1KG,EUR
HG01682,HGDP + 1KG,EUR
HG01684,HGDP + 1KG,EUR
HG01685,HGDP + 1KG,EUR
HG01686,HGDP + 1KG,EUR
HG01695,HGDP + 1KG,EUR
HG01697,HGDP + 1KG,EUR
HG01699,HGDP + 1KG,EUR
HG01700,HGDP + 1KG,EUR
HG01702,HGDP + 1KG,EUR
HG01704,HGDP + 1KG,EUR
HG01705,HGDP + 1KG,EUR
HG01707,HGDP + 1KG,EUR
HG01708,HGDP + 1KG,EUR
HG01709,HGDP + 1KG,EUR
HG01710,HGDP + 1KG,EUR
HG01746,HGDP + 1KG,EUR
HG01747,HGDP + 1KG,EUR
HG01756,HGDP + 1KG,EUR
HG01757,HGDP + 1KG,EUR
HG01761,HGDP + 1KG,EUR
HG01762,HGDP + 1KG,EUR
HG01765,HGDP + 1KG,EUR
HG01766,HGDP + 1KG,EUR
HG01767,HGDP + 1KG,EUR
HG01768,HGDP + 1KG,EUR
HG01770,HGDP + 1KG,EUR
HG01771,HGDP + 1KG,EUR
HG01773,HGDP + 1KG,EUR
HG01775,HGDP + 1KG,EUR
HG01776,HGDP + 1KG,EUR
HG01777,HGDP + 1KG,EUR
