USI,Cohort,eaf.max
HG02035,HGDP + 1KG,EAS
HG02040,HGDP + 1KG,EAS
HG02047,HGDP + 1KG,EAS
HG02048,HGDP + 1KG,EAS
HG02049,HGDP + 1KG,EAS
HG02050,HGDP + 1KG,EAS
HG02051,HGDP + 1KG,AFR
HG02052,HGDP + 1KG,AFR
HG02053,HGDP + 1KG,AFR
HG02054,HGDP + 1KG,AFR
HG02057,HGDP + 1KG,EAS
HG02058,HGDP + 1KG,EAS
HG02060,HGDP + 1KG,EAS
HG02061,HGDP + 1KG,EAS
HG02064,HGDP + 1KG,EAS
HG02067,HGDP + 1KG,EAS
HG02069,HGDP + 1KG,EAS
HG02070,HGDP + 1KG,EAS
HG02072,HGDP + 1KG,EAS
HG02073,HGDP + 1KG,EAS
HG02075,HGDP + 1KG,EAS
HG02076,HGDP + 1KG,EAS
HG02078,HGDP + 1KG,EAS
HG02079,HGDP + 1KG,EAS
HG02081,HGDP + 1KG,EAS
HG02082,HGDP + 1KG,EAS
HG02084,HGDP + 1KG,EAS
HG02085,HGDP + 1KG,EAS
HG02086,HGDP + 1KG,EAS
HG02087,HGDP + 1KG,EAS
HG02088,HGDP + 1KG,EAS
HG02089,HGDP + 1KG,AMR
HG02090,HGDP + 1KG,AMR
HG02095,HGDP + 1KG,AFR
HG02102,HGDP + 1KG,AMR
HG02104,HGDP + 1KG,AMR
HG02105,HGDP + 1KG,AMR
HG02107,HGDP + 1KG,AFR
HG02108,HGDP + 1KG,AFR
HG02111,HGDP + 1KG,AFR
HG02113,HGDP + 1KG,EAS
HG02116,HGDP + 1KG,EAS
HG02121,HGDP + 1KG,EAS
HG02122,HGDP + 1KG,EAS
HG02127,HGDP + 1KG,EAS
HG02128,HGDP + 1KG,EAS
HG02130,HGDP + 1KG,EAS
HG02131,HGDP + 1KG,EAS
HG02133,HGDP + 1KG,EAS
HG02134,HGDP + 1KG,EAS
HG02136,HGDP + 1KG,EAS
HG02137,HGDP + 1KG,EAS
HG02138,HGDP + 1KG,EAS
HG02139,HGDP + 1KG,EAS
HG02140,HGDP + 1KG,EAS
HG02141,HGDP + 1KG,EAS
HG02142,HGDP + 1KG,EAS
HG02143,HGDP + 1KG,AFR
HG02144,HGDP + 1KG,AFR
HG02146,HGDP + 1KG,AMR
HG02147,HGDP + 1KG,AMR
HG02150,HGDP + 1KG,AMR
HG02151,HGDP + 1KG,EAS
HG02152,HGDP + 1KG,EAS
HG02153,HGDP + 1KG,EAS
HG02154,HGDP + 1KG,EAS
HG02155,HGDP + 1KG,EAS
HG02164,HGDP + 1KG,EAS
HG02165,HGDP + 1KG,EAS
HG02166,HGDP + 1KG,EAS
HG02178,HGDP + 1KG,EAS
HG02179,HGDP + 1KG,EAS
HG02180,HGDP + 1KG,EAS
HG02181,HGDP + 1KG,EAS
HG02182,HGDP + 1KG,EAS
HG02184,HGDP + 1KG,EAS
HG02185,HGDP + 1KG,EAS
HG02186,HGDP + 1KG,EAS
HG02187,HGDP + 1KG,EAS
HG02188,HGDP + 1KG,EAS
HG02190,HGDP + 1KG,EAS
HG02215,HGDP + 1KG,EUR
HG02219,HGDP + 1KG,EUR
HG02220,HGDP + 1KG,EUR
HG02221,HGDP + 1KG,EUR
HG02223,HGDP + 1KG,EUR
HG02224,HGDP + 1KG,EUR
HG02230,HGDP + 1KG,EUR
HG02231,HGDP + 1KG,EUR
HG02232,HGDP + 1KG,EUR
HG02233,HGDP + 1KG,EUR
HG02235,HGDP + 1KG,EUR
HG02236,HGDP + 1KG,EUR
HG02238,HGDP + 1KG,EUR
HG02239,HGDP + 1KG,EUR
HG02250,HGDP + 1KG,EAS
HG02252,HGDP + 1KG,AMR
HG02253,HGDP + 1KG,AMR
HG02255,HGDP + 1KG,AFR
HG02256,HGDP + 1KG,AFR
HG02259,HGDP + 1KG,AMR
HG02260,HGDP + 1KG,AMR
HG02262,HGDP + 1KG,AMR
HG02265,HGDP + 1KG,AMR
HG02266,HGDP + 1KG,AMR
HG02271,HGDP + 1KG,AMR
HG02272,HGDP + 1KG,AMR
HG02274,HGDP + 1KG,AMR
HG02275,HGDP + 1KG,AMR
HG02277,HGDP + 1KG,AMR
HG02278,HGDP + 1KG,AMR
HG02281,HGDP + 1KG,AFR
HG02282,HGDP + 1KG,AFR
HG02284,HGDP + 1KG,AFR
HG02285,HGDP + 1KG,AMR
HG02286,HGDP + 1KG,AMR
HG02291,HGDP + 1KG,AMR
HG02292,HGDP + 1KG,AMR
HG02299,HGDP + 1KG,AMR
HG02301,HGDP + 1KG,AMR
HG02302,HGDP + 1KG,AMR
HG02304,HGDP + 1KG,AMR
HG02307,HGDP + 1KG,AFR
HG02308,HGDP + 1KG,AFR
HG02309,HGDP + 1KG,AFR
HG02312,HGDP + 1KG,AMR
HG02314,HGDP + 1KG,AFR
HG02315,HGDP + 1KG,AFR
HG02317,HGDP + 1KG,AFR
HG02318,HGDP + 1KG,AFR
HG02322,HGDP + 1KG,AFR
HG02323,HGDP + 1KG,AFR
HG02325,HGDP + 1KG,AFR
HG02330,HGDP + 1KG,AFR
HG02332,HGDP + 1KG,AFR
HG02334,HGDP + 1KG,AFR
HG02337,HGDP + 1KG,AFR
HG02339,HGDP + 1KG,AFR
HG02343,HGDP + 1KG,AFR
HG02345,HGDP + 1KG,AMR
HG02348,HGDP + 1KG,AMR
HG02351,HGDP + 1KG,EAS
HG02353,HGDP + 1KG,EAS
HG02355,HGDP + 1KG,EAS
HG02356,HGDP + 1KG,EAS
HG02360,HGDP + 1KG,EAS
HG02364,HGDP + 1KG,EAS
HG02367,HGDP + 1KG,EAS
HG02371,HGDP + 1KG,EAS
HG02373,HGDP + 1KG,EAS
HG02374,HGDP + 1KG,EAS
HG02375,HGDP + 1KG,EAS
HG02380,HGDP + 1KG,EAS
HG02382,HGDP + 1KG,EAS
HG02383,HGDP + 1KG,EAS
HG02385,HGDP + 1KG,EAS
HG02386,HGDP + 1KG,EAS
HG02389,HGDP + 1KG,EAS
HG02390,HGDP + 1KG,EAS
HG02391,HGDP + 1KG,EAS
HG02392,HGDP + 1KG,EAS
HG02394,HGDP + 1KG,EAS
HG02395,HGDP + 1KG,EAS
HG02396,HGDP + 1KG,EAS
HG02397,HGDP + 1KG,EAS
HG02398,HGDP + 1KG,EAS
HG02399,HGDP + 1KG,EAS
HG02401,HGDP + 1KG,EAS
HG02402,HGDP + 1KG,EAS
HG02406,HGDP + 1KG,EAS
HG02407,HGDP + 1KG,EAS
HG02408,HGDP + 1KG,EAS
HG02409,HGDP + 1KG,EAS
HG02410,HGDP + 1KG,EAS
HG02419,HGDP + 1KG,AFR
HG02425,HGDP + 1KG,AMR
HG02427,HGDP + 1KG,AFR
HG02429,HGDP + 1KG,AFR
HG02433,HGDP + 1KG,AFR
HG02439,HGDP + 1KG,AFR
HG02442,HGDP + 1KG,AFR
HG02445,HGDP + 1KG,AFR
HG02449,HGDP + 1KG,AFR
HG02450,HGDP + 1KG,AFR
HG02455,HGDP + 1KG,AFR
HG02462,HGDP + 1KG,AFR
HG02464,HGDP + 1KG,AFR
HG02465,HGDP + 1KG,AFR
HG02470,HGDP + 1KG,AFR
HG02471,HGDP + 1KG,AFR
HG02476,HGDP + 1KG,AFR
HG02477,HGDP + 1KG,AFR
HG02481,HGDP + 1KG,AFR
HG02484,HGDP + 1KG,AFR
HG02485,HGDP + 1KG,AFR
HG02489,HGDP + 1KG,AFR
HG02490,HGDP + 1KG,CSA
HG02491,HGDP + 1KG,CSA
HG02493,HGDP + 1KG,CSA
HG02494,HGDP + 1KG,CSA
HG02496,HGDP + 1KG,AFR
HG02497,HGDP + 1KG,AFR
HG02501,HGDP + 1KG,AFR
HG02502,HGDP + 1KG,AFR
HG02505,HGDP + 1KG,AFR
HG02508,HGDP + 1KG,AFR
HG02511,HGDP + 1KG,AFR
HG02512,HGDP + 1KG,EAS
HG02513,HGDP + 1KG,EAS
HG02521,HGDP + 1KG,EAS
HG02522,HGDP + 1KG,EAS
HG02524,HGDP + 1KG,EAS
HG02525,HGDP + 1KG,EAS
HG02536,HGDP + 1KG,AFR
HG02537,HGDP + 1KG,AFR
HG02541,HGDP + 1KG,AFR
HG02545,HGDP + 1KG,AFR
HG02546,HGDP + 1KG,AFR
HG02549,HGDP + 1KG,AFR
HG02554,HGDP + 1KG,AFR
HG02555,HGDP + 1KG,AFR
HG02557,HGDP + 1KG,AFR
HG02558,HGDP + 1KG,AFR
HG02561,HGDP + 1KG,AFR
HG02562,HGDP + 1KG,AFR
HG02569,HGDP + 1KG,AFR
HG02570,HGDP + 1KG,AFR
HG02571,HGDP + 1KG,AFR
HG02573,HGDP + 1KG,AFR
HG02574,HGDP + 1KG,AFR
HG02577,HGDP + 1KG,AFR
HG02580,HGDP + 1KG,AFR
HG02582,HGDP + 1KG,AFR
HG02583,HGDP + 1KG,AFR
HG02585,HGDP + 1KG,AFR
HG02586,HGDP + 1KG,AFR
HG02588,HGDP + 1KG,AFR
HG02589,HGDP + 1KG,AFR
HG02594,HGDP + 1KG,AFR
HG02595,HGDP + 1KG,AFR
HG02597,HGDP + 1KG,CSA
HG02600,HGDP + 1KG,CSA
HG02601,HGDP + 1KG,CSA
HG02603,HGDP + 1KG,CSA
HG02604,HGDP + 1KG,CSA
HG02610,HGDP + 1KG,AFR
HG02611,HGDP + 1KG,AFR
HG02613,HGDP + 1KG,AFR
HG02614,HGDP + 1KG,AFR
HG02620,HGDP + 1KG,AFR
HG02621,HGDP + 1KG,AFR
HG02625,HGDP + 1KG,AFR
HG02628,HGDP + 1KG,AFR
HG02629,HGDP + 1KG,AFR
HG02634,HGDP + 1KG,AFR
HG02635,HGDP + 1KG,AFR
HG02642,HGDP + 1KG,AFR
HG02643,HGDP + 1KG,AFR
HG02645,HGDP + 1KG,AFR
HG02646,HGDP + 1KG,AFR
HG02648,HGDP + 1KG,CSA
HG02651,HGDP + 1KG,CSA
HG02652,HGDP + 1KG,CSA
HG02654,HGDP + 1KG,CSA
HG02655,HGDP + 1KG,CSA
HG02657,HGDP + 1KG,CSA
HG02660,HGDP + 1KG,CSA
HG02661,HGDP + 1KG,CSA
HG02666,HGDP + 1KG,AFR
HG02667,HGDP + 1KG,AFR
HG02675,HGDP + 1KG,AFR
HG02676,HGDP + 1KG,AFR
HG02678,HGDP + 1KG,AFR
HG02679,HGDP + 1KG,AFR
HG02682,HGDP + 1KG,CSA
HG02684,HGDP + 1KG,CSA
HG02685,HGDP + 1KG,CSA
HG02687,HGDP + 1KG,CSA
HG02688,HGDP + 1KG,CSA
HG02691,HGDP + 1KG,CSA
HG02694,HGDP + 1KG,CSA
HG02697,HGDP + 1KG,CSA
HG02700,HGDP + 1KG,CSA
HG02702,HGDP + 1KG,AFR
HG02703,HGDP + 1KG,AFR
HG02715,HGDP + 1KG,AFR
HG02716,HGDP + 1KG,AFR
HG02721,HGDP + 1KG,AFR
HG02722,HGDP + 1KG,AFR
HG02724,HGDP + 1KG,CSA
HG02725,HGDP + 1KG,CSA
HG02727,HGDP + 1KG,CSA
HG02728,HGDP + 1KG,CSA
HG02731,HGDP + 1KG,CSA
HG02733,HGDP + 1KG,CSA
HG02734,HGDP + 1KG,CSA
HG02736,HGDP + 1KG,CSA
HG02737,HGDP + 1KG,CSA
HG02756,HGDP + 1KG,AFR
HG02757,HGDP + 1KG,AFR
HG02759,HGDP + 1KG,AFR
HG02760,HGDP + 1KG,AFR
HG02762,HGDP + 1KG,AFR
HG02763,HGDP + 1KG,AFR
HG02768,HGDP + 1KG,AFR
HG02769,HGDP + 1KG,AFR
HG02771,HGDP + 1KG,AFR
HG02772,HGDP + 1KG,AFR
HG02774,HGDP + 1KG,CSA
HG02775,HGDP + 1KG,CSA
HG02778,HGDP + 1KG,CSA
HG02780,HGDP + 1KG,CSA
HG02783,HGDP + 1KG,CSA
HG02784,HGDP + 1KG,CSA
HG02786,HGDP + 1KG,CSA
HG02787,HGDP + 1KG,CSA
HG02789,HGDP + 1KG,CSA
HG02790,HGDP + 1KG,CSA
HG02792,HGDP + 1KG,CSA
HG02793,HGDP + 1KG,CSA
HG02798,HGDP + 1KG,AFR
HG02799,HGDP + 1KG,AFR
HG02804,HGDP + 1KG,AFR
HG02805,HGDP + 1KG,AFR
HG02807,HGDP + 1KG,AFR
HG02808,HGDP + 1KG,AFR
HG02810,HGDP + 1KG,AFR
HG02811,HGDP + 1KG,AFR
HG02813,HGDP + 1KG,AFR
HG02814,HGDP + 1KG,AFR
HG02816,HGDP + 1KG,AFR
HG02817,HGDP + 1KG,AFR
HG02819,HGDP + 1KG,AFR
HG02820,HGDP + 1KG,AFR
HG02836,HGDP + 1KG,AFR
HG02837,HGDP + 1KG,AFR
HG02839,HGDP + 1KG,AFR
HG02840,HGDP + 1KG,AFR
HG02851,HGDP + 1KG,AFR
HG02852,HGDP + 1KG,AFR
HG02854,HGDP + 1KG,AFR
HG02855,HGDP + 1KG,AFR
HG02860,HGDP + 1KG,AFR
HG02861,HGDP + 1KG,AFR
HG02871,HGDP + 1KG,AFR
HG02878,HGDP + 1KG,AFR
HG02879,HGDP + 1KG,AFR
HG02881,HGDP + 1KG,AFR
HG02882,HGDP + 1KG,AFR
HG02884,HGDP + 1KG,AFR
HG02885,HGDP + 1KG,AFR
HG02887,HGDP + 1KG,AFR
HG02888,HGDP + 1KG,AFR
HG02890,HGDP + 1KG,AFR
HG02891,HGDP + 1KG,AFR
HG02895,HGDP + 1KG,AFR
HG02896,HGDP + 1KG,AFR
HG02922,HGDP + 1KG,AFR
HG02923,HGDP + 1KG,AFR
HG02938,HGDP + 1KG,AFR
HG02941,HGDP + 1KG,AFR
HG02943,HGDP + 1KG,AFR
HG02944,HGDP + 1KG,AFR
HG02946,HGDP + 1KG,AFR
HG02947,HGDP + 1KG,AFR
HG02952,HGDP + 1KG,AFR
HG02953,HGDP + 1KG,AFR
HG02964,HGDP + 1KG,AFR
HG02965,HGDP + 1KG,AFR
HG02968,HGDP + 1KG,AFR
HG02970,HGDP + 1KG,AFR
HG02971,HGDP + 1KG,AFR
HG02973,HGDP + 1KG,AFR
HG02974,HGDP + 1KG,AFR
HG02976,HGDP + 1KG,AFR
HG02977,HGDP + 1KG,AFR
HG02979,HGDP + 1KG,AFR
HG02981,HGDP + 1KG,AFR
HG02982,HGDP + 1KG,AFR
HG02983,HGDP + 1KG,AFR
HG03006,HGDP + 1KG,CSA
HG03007,HGDP + 1KG,CSA
HG03009,HGDP + 1KG,CSA
HG03012,HGDP + 1KG,CSA
HG03015,HGDP + 1KG,CSA
HG03016,HGDP + 1KG,CSA
HG03018,HGDP + 1KG,CSA
HG03021,HGDP + 1KG,CSA
HG03022,HGDP + 1KG,CSA
HG03024,HGDP + 1KG,AFR
HG03025,HGDP + 1KG,AFR
HG03027,HGDP + 1KG,AFR
HG03028,HGDP + 1KG,AFR
HG03033,HGDP + 1KG,AFR
HG03034,HGDP + 1KG,AFR
HG03039,HGDP + 1KG,AFR
HG03040,HGDP + 1KG,AFR
HG03045,HGDP + 1KG,AFR
HG03046,HGDP + 1KG,AFR
HG03048,HGDP + 1KG,AFR
HG03049,HGDP + 1KG,AFR
HG03052,HGDP + 1KG,AFR
HG03054,HGDP + 1KG,AFR
HG03055,HGDP + 1KG,AFR
HG03057,HGDP + 1KG,AFR
HG03058,HGDP + 1KG,AFR
HG03060,HGDP + 1KG,AFR
HG03061,HGDP + 1KG,AFR
HG03063,HGDP + 1KG,AFR
HG03064,HGDP + 1KG,AFR
HG03066,HGDP + 1KG,AFR
HG03069,HGDP + 1KG,AFR
HG03072,HGDP + 1KG,AFR
HG03073,HGDP + 1KG,AFR
HG03074,HGDP + 1KG,AFR
HG03077,HGDP + 1KG,AFR
HG03078,HGDP + 1KG,AFR
HG03079,HGDP + 1KG,AFR
HG03081,HGDP + 1KG,AFR
HG03082,HGDP + 1KG,AFR
HG03084,HGDP + 1KG,AFR
HG03086,HGDP + 1KG,AFR
HG03088,HGDP + 1KG,AFR
HG03091,HGDP + 1KG,AFR
HG03095,HGDP + 1KG,AFR
HG03099,HGDP + 1KG,AFR
HG03100,HGDP + 1KG,AFR
HG03103,HGDP + 1KG,AFR
HG03105,HGDP + 1KG,AFR
HG03108,HGDP + 1KG,AFR
HG03109,HGDP + 1KG,AFR
HG03111,HGDP + 1KG,AFR
HG03112,HGDP + 1KG,AFR
HG03114,HGDP + 1KG,AFR
HG03115,HGDP + 1KG,AFR
HG03117,HGDP + 1KG,AFR
HG03118,HGDP + 1KG,AFR
HG03120,HGDP + 1KG,AFR
HG03121,HGDP + 1KG,AFR
HG03123,HGDP + 1KG,AFR
HG03124,HGDP + 1KG,AFR
HG03126,HGDP + 1KG,AFR
HG03127,HGDP + 1KG,AFR
HG03129,HGDP + 1KG,AFR
HG03130,HGDP + 1KG,AFR
HG03132,HGDP + 1KG,AFR
HG03133,HGDP + 1KG,AFR
HG03135,HGDP + 1KG,AFR
HG03136,HGDP + 1KG,AFR
HG03139,HGDP + 1KG,AFR
HG03157,HGDP + 1KG,AFR
HG03159,HGDP + 1KG,AFR
HG03160,HGDP + 1KG,AFR
HG03162,HGDP + 1KG,AFR
HG03163,HGDP + 1KG,AFR
HG03166,HGDP + 1KG,AFR
HG03168,HGDP + 1KG,AFR
HG03169,HGDP + 1KG,AFR
HG03172,HGDP + 1KG,AFR
HG03175,HGDP + 1KG,AFR
HG03189,HGDP + 1KG,AFR
HG03190,HGDP + 1KG,AFR
HG03193,HGDP + 1KG,AFR
HG03195,HGDP + 1KG,AFR
HG03196,HGDP + 1KG,AFR
HG03198,HGDP + 1KG,AFR
HG03199,HGDP + 1KG,AFR
HG03202,HGDP + 1KG,AFR
HG03209,HGDP + 1KG,AFR
HG03212,HGDP + 1KG,AFR
HG03224,HGDP + 1KG,AFR
HG03225,HGDP + 1KG,AFR
HG03228,HGDP + 1KG,CSA
HG03234,HGDP + 1KG,CSA
HG03235,HGDP + 1KG,CSA
HG03237,HGDP + 1KG,CSA
HG03238,HGDP + 1KG,CSA
HG03240,HGDP + 1KG,AFR
HG03241,HGDP + 1KG,AFR
HG03246,HGDP + 1KG,AFR
HG03247,HGDP + 1KG,AFR
HG03249,HGDP + 1KG,AFR
HG03258,HGDP + 1KG,AFR
HG03259,HGDP + 1KG,AFR
HG03265,HGDP + 1KG,AFR
HG03267,HGDP + 1KG,AFR
HG03268,HGDP + 1KG,AFR
HG03270,HGDP + 1KG,AFR
HG03271,HGDP + 1KG,AFR
HG03279,HGDP + 1KG,AFR
HG03280,HGDP + 1KG,AFR
HG03291,HGDP + 1KG,AFR
HG03294,HGDP + 1KG,AFR
HG03295,HGDP + 1KG,AFR
HG03297,HGDP + 1KG,AFR
HG03298,HGDP + 1KG,AFR
HG03302,HGDP + 1KG,AFR
HG03304,HGDP + 1KG,AFR
HG03306,HGDP + 1KG,AFR
HG03307,HGDP + 1KG,AFR
HG03309,HGDP + 1KG,AFR
HG03311,HGDP + 1KG,AFR
HG03312,HGDP + 1KG,AFR
HG03313,HGDP + 1KG,AFR
HG03342,HGDP + 1KG,AFR
HG03343,HGDP + 1KG,AFR
HG03350,HGDP + 1KG,AFR
HG03354,HGDP + 1KG,AFR
HG03363,HGDP + 1KG,AFR
HG03366,HGDP + 1KG,AFR
HG03367,HGDP + 1KG,AFR
HG03369,HGDP + 1KG,AFR
HG03370,HGDP + 1KG,AFR
HG03372,HGDP + 1KG,AFR
HG03373,HGDP + 1KG,AFR
HG03376,HGDP + 1KG,AFR
HG03378,HGDP + 1KG,AFR
HG03380,HGDP + 1KG,AFR
HG03382,HGDP + 1KG,AFR
HG03385,HGDP + 1KG,AFR
HG03388,HGDP + 1KG,AFR
HG03391,HGDP + 1KG,AFR
HG03394,HGDP + 1KG,AFR
HG03397,HGDP + 1KG,AFR
HG03401,HGDP + 1KG,AFR
HG03410,HGDP + 1KG,AFR
HG03419,HGDP + 1KG,AFR
HG03428,HGDP + 1KG,AFR
HG03432,HGDP + 1KG,AFR
HG03433,HGDP + 1KG,AFR
HG03436,HGDP + 1KG,AFR
HG03437,HGDP + 1KG,AFR
HG03439,HGDP + 1KG,AFR
HG03442,HGDP + 1KG,AFR
HG03445,HGDP + 1KG,AFR
HG03446,HGDP + 1KG,AFR
HG03449,HGDP + 1KG,AFR
HG03451,HGDP + 1KG,AFR
HG03452,HGDP + 1KG,AFR
HG03454,HGDP + 1KG,AFR
HG03455,HGDP + 1KG,AFR
HG03458,HGDP + 1KG,AFR
HG03460,HGDP + 1KG,AFR
HG03461,HGDP + 1KG,AFR
HG03470,HGDP + 1KG,AFR
HG03472,HGDP + 1KG,AFR
HG03473,HGDP + 1KG,AFR
HG03476,HGDP + 1KG,AFR
HG03480,HGDP + 1KG,AFR
HG03484,HGDP + 1KG,AFR
HG03485,HGDP + 1KG,AFR
HG03487,HGDP + 1KG,CSA
HG03488,HGDP + 1KG,CSA
HG03490,HGDP + 1KG,CSA
HG03491,HGDP + 1KG,CSA
HG03499,HGDP + 1KG,AFR
HG03514,HGDP + 1KG,AFR
HG03515,HGDP + 1KG,AFR
HG03517,HGDP + 1KG,AFR
HG03518,HGDP + 1KG,AFR
HG03520,HGDP + 1KG,AFR
HG03521,HGDP + 1KG,AFR
HG03538,HGDP + 1KG,AFR
HG03539,HGDP + 1KG,AFR
HG03548,HGDP + 1KG,AFR
HG03556,HGDP + 1KG,AFR
HG03557,HGDP + 1KG,AFR
HG03558,HGDP + 1KG,AFR
HG03559,HGDP + 1KG,AFR
HG03563,HGDP + 1KG,AFR
HG03565,HGDP + 1KG,AFR
HG03567,HGDP + 1KG,AFR
HG03571,HGDP + 1KG,AFR
HG03572,HGDP + 1KG,AFR
HG03576,HGDP + 1KG,AFR
HG03577,HGDP + 1KG,AFR
HG03578,HGDP + 1KG,AFR
HG03583,HGDP + 1KG,AFR
HG03585,HGDP + 1KG,CSA
HG03589,HGDP + 1KG,CSA
HG03593,HGDP + 1KG,CSA
HG03595,HGDP + 1KG,CSA
HG03598,HGDP + 1KG,CSA
HG03600,HGDP + 1KG,CSA
HG03603,HGDP + 1KG,CSA
HG03604,HGDP + 1KG,CSA
HG03606,HGDP + 1KG,CSA
HG03607,HGDP + 1KG,CSA
HG03611,HGDP + 1KG,CSA
HG03615,HGDP + 1KG,CSA
HG03616,HGDP + 1KG,CSA
HG03618,HGDP + 1KG,CSA
HG03619,HGDP + 1KG,CSA
HG03624,HGDP + 1KG,CSA
HG03625,HGDP + 1KG,CSA
HG03629,HGDP + 1KG,CSA
HG03631,HGDP + 1KG,CSA
HG03633,HGDP + 1KG,CSA
HG03634,HGDP + 1KG,CSA
HG03636,HGDP + 1KG,CSA
HG03639,HGDP + 1KG,CSA
HG03640,HGDP + 1KG,CSA
HG03642,HGDP + 1KG,CSA
HG03643,HGDP + 1KG,CSA
HG03644,HGDP + 1KG,CSA
HG03645,HGDP + 1KG,CSA
HG03646,HGDP + 1KG,CSA
HG03649,HGDP + 1KG,CSA
HG03650,HGDP + 1KG,CSA
HG03652,HGDP + 1KG,CSA
HG03653,HGDP + 1KG,CSA
HG03660,HGDP + 1KG,CSA
HG03663,HGDP + 1KG,CSA
HG03667,HGDP + 1KG,CSA
HG03668,HGDP + 1KG,CSA
HG03672,HGDP + 1KG,CSA
HG03673,HGDP + 1KG,CSA
HG03679,HGDP + 1KG,CSA
HG03680,HGDP + 1KG,CSA
HG03681,HGDP + 1KG,CSA
HG03682,HGDP + 1KG,CSA
HG03684,HGDP + 1KG,CSA
HG03685,HGDP + 1KG,CSA
HG03686,HGDP + 1KG,CSA
HG03687,HGDP + 1KG,CSA
HG03689,HGDP + 1KG,CSA
HG03690,HGDP + 1KG,CSA
HG03691,HGDP + 1KG,CSA
HG03692,HGDP + 1KG,CSA
HG03693,HGDP + 1KG,CSA
HG03694,HGDP + 1KG,CSA
HG03695,HGDP + 1KG,CSA
HG03696,HGDP + 1KG,CSA
HG03697,HGDP + 1KG,CSA
HG03698,HGDP + 1KG,CSA
HG03699,HGDP + 1KG,CSA
HG03700,HGDP + 1KG,CSA
HG03702,HGDP + 1KG,CSA
HG03703,HGDP + 1KG,CSA
HG03705,HGDP + 1KG,CSA
HG03706,HGDP + 1KG,CSA
HG03708,HGDP + 1KG,CSA
HG03709,HGDP + 1KG,CSA
HG03711,HGDP + 1KG,CSA
HG03713,HGDP + 1KG,CSA
HG03714,HGDP + 1KG,CSA
HG03716,HGDP + 1KG,CSA
HG03717,HGDP + 1KG,CSA
HG03718,HGDP + 1KG,CSA
HG03720,HGDP + 1KG,CSA
HG03721,HGDP + 1KG,CSA
HG03722,HGDP + 1KG,CSA
HG03725,HGDP + 1KG,CSA
HG03727,HGDP + 1KG,CSA
HG03729,HGDP + 1KG,CSA
HG03730,HGDP + 1KG,CSA
HG03731,HGDP + 1KG,CSA
HG03736,HGDP + 1KG,CSA
HG03738,HGDP + 1KG,CSA
HG03740,HGDP + 1KG,CSA
HG03741,HGDP + 1KG,CSA
HG03742,HGDP + 1KG,CSA
HG03743,HGDP + 1KG,CSA
HG03744,HGDP + 1KG,CSA
HG03745,HGDP + 1KG,CSA
HG03746,HGDP + 1KG,CSA
HG03752,HGDP + 1KG,CSA
HG03753,HGDP + 1KG,CSA
HG03754,HGDP + 1KG,CSA
HG03755,HGDP + 1KG,CSA
HG03756,HGDP + 1KG,CSA
HG03757,HGDP + 1KG,CSA
HG03760,HGDP + 1KG,CSA
HG03761,HGDP + 1KG,CSA
HG03762,HGDP + 1KG,CSA
HG03765,HGDP + 1KG,CSA
HG03767,HGDP + 1KG,CSA
HG03770,HGDP + 1KG,CSA
HG03771,HGDP + 1KG,CSA
HG03772,HGDP + 1KG,CSA
HG03773,HGDP + 1KG,CSA
HG03774,HGDP + 1KG,CSA
HG03775,HGDP + 1KG,CSA
HG03777,HGDP + 1KG,CSA
HG03778,HGDP + 1KG,CSA
HG03779,HGDP + 1KG,CSA
HG03780,HGDP + 1KG,CSA
HG03781,HGDP + 1KG,CSA
HG03782,HGDP + 1KG,CSA
HG03784,HGDP + 1KG,CSA
HG03785,HGDP + 1KG,CSA
HG03786,HGDP + 1KG,CSA
HG03787,HGDP + 1KG,CSA
HG03788,HGDP + 1KG,CSA
HG03789,HGDP + 1KG,CSA
HG03790,HGDP + 1KG,CSA
HG03792,HGDP + 1KG,CSA
HG03793,HGDP + 1KG,CSA
HG03794,HGDP + 1KG,CSA
HG03796,HGDP + 1KG,CSA
HG03797,HGDP + 1KG,CSA
HG03799,HGDP + 1KG,CSA
HG03800,HGDP + 1KG,CSA
HG03802,HGDP + 1KG,CSA
HG03803,HGDP + 1KG,CSA
HG03805,HGDP + 1KG,CSA
HG03806,HGDP + 1KG,CSA
HG03808,HGDP + 1KG,CSA
HG03809,HGDP + 1KG,CSA
HG03812,HGDP + 1KG,CSA
HG03814,HGDP + 1KG,CSA
HG03815,HGDP + 1KG,CSA
HG03817,HGDP + 1KG,CSA
HG03821,HGDP + 1KG,CSA
HG03823,HGDP + 1KG,CSA
HG03824,HGDP + 1KG,CSA
HG03826,HGDP + 1KG,CSA
HG03829,HGDP + 1KG,CSA
HG03830,HGDP + 1KG,CSA
HG03832,HGDP + 1KG,CSA
HG03833,HGDP + 1KG,CSA
HG03836,HGDP + 1KG,CSA
HG03837,HGDP + 1KG,CSA
HG03838,HGDP + 1KG,CSA
HG03844,HGDP + 1KG,CSA
HG03846,HGDP + 1KG,CSA
HG03848,HGDP + 1KG,CSA
HG03849,HGDP + 1KG,CSA
HG03850,HGDP + 1KG,CSA
HG03851,HGDP + 1KG,CSA
HG03854,HGDP + 1KG,CSA
HG03856,HGDP + 1KG,CSA
HG03857,HGDP + 1KG,CSA
HG03858,HGDP + 1KG,CSA
HG03861,HGDP + 1KG,CSA
HG03862,HGDP + 1KG,CSA
