Category,gene,canonical,lof.oe_ci.upper
Random,LDHAL6A,TRUE,0.975
Random,EIF3M,TRUE,0.631
Random,PRRG4,TRUE,1.41
Random,HIPK3,TRUE,0.466
Random,PDHX,TRUE,0.797
Random,OR5T3,TRUE,1.462
Random,MYRF,TRUE,0.215
Random,ASRGL1,TRUE,1.121
Random,SART1,TRUE,0.39
Random,GAL,TRUE,1.72
Random,FOLR1,TRUE,0.735
Random,CLDN25,TRUE,1.892
Random,GRAMD1B,TRUE,0.717
Random,ROBO3,TRUE,0.749
Random,GLB1L2,TRUE,1.021
Random,IFITM3,TRUE,1.667
Random,OR52B2,TRUE,1.708
Random,PSMA1,TRUE,0.343
Random,KCNJ11,TRUE,1.074
Random,PTPN5,TRUE,0.58
Random,CHST1,TRUE,0.696
Random,AGBL2,TRUE,0.944
Random,C11orf98,TRUE,1.409
Random,HNRNPUL2,TRUE,0.391
Random,SLC22A24,TRUE,1.483
Random,CDCA5,TRUE,0.88
Random,LRRC32,TRUE,0.703
Random,MMP20,TRUE,1.197
Random,NXPE1,TRUE,1.266
Random,OR8B2,TRUE,1.852
Random,SMCO2,TRUE,1.225
Random,SMCO2,TRUE,1.238
Random,TSPAN11,TRUE,1.117
Random,TAMALIN,TRUE,0.587
Random,TARBP2,TRUE,0.909
Random,MBD6,TRUE,0.5
Random,SLC35E3,TRUE,1.266
Random,KCNMB4,TRUE,0.399
Random,THAP2,TRUE,1.137
Random,MYF6,TRUE,1.24
Random,MRPL42,TRUE,1.394
Random,ALDH2,TRUE,0.989
Random,LRRC43,TRUE,1.247
Random,EP400,TRUE,0.365
Random,CRACR2A,TRUE,0.969
Random,TAS2R14,TRUE,1.883
Random,KRT6A,TRUE,0.755
Random,KRT79,TRUE,1.27
Random,PYM1,TRUE,0.62
Random,AGAP2,TRUE,0.414
Random,POC1B-GALNT4,TRUE,0.938
Random,POC1B-GALNT4,TRUE,0.76
Random,TMEM119,TRUE,1.823
Random,GCN1,TRUE,0.349
Random,DHX37,TRUE,0.518
Random,GTF3A,TRUE,1.893
Random,SERP2,TRUE,1.84
Random,BIVM,TRUE,0.669
Random,SKA3,TRUE,1.206
Random,PNP,TRUE,0.995
Random,EDDM3A,TRUE,1.943
Random,OR4E2,TRUE,1.332
Random,AKAP5,TRUE,0.698
Random,FNTB,TRUE,0.665
Random,SLC39A9,TRUE,0.742
Random,SRSF5,TRUE,0.315
Random,SLC7A8,TRUE,0.793
Random,ADAM20,TRUE,1.933
Random,CEP128,TRUE,0.957
Random,CDC42BPB,TRUE,0.235
Random,SNRPN,TRUE,0.503
Random,GOLGA8Q,TRUE,1.73
Random,KLF13,TRUE,1.786
Random,CHRNA7,TRUE,1.064
Random,GCHFR,TRUE,1.947
Random,PLA2G4B,TRUE,1.471
Random,LIPC,TRUE,1.102
Random,SLC51B,TRUE,1.641
Random,RCN2,TRUE,1.263
Random,IDH3A,TRUE,1.09
Random,TMED3,TRUE,0.979
Random,TJP1,TRUE,0.275
Random,MYO5C,TRUE,0.893
Random,INSYN1,TRUE,0.592
Random,INSYN1,TRUE,0.727
Random,IMP3,TRUE,1.955
Random,CIB2,TRUE,1.274
Random,KLHL25,TRUE,1.726
Random,NDUFB10,TRUE,1.57
Random,MLST8,TRUE,0.679
Random,AHSP,TRUE,1.947
Random,MT1M,TRUE,1.869
Random,TSNAXIP1,TRUE,1.226
Random,PRMT7,TRUE,1.01
Random,ATMIN,TRUE,0.695
Random,RPL13,TRUE,0.25
Random,PRSS33,TRUE,1.776
Random,CNGB1,TRUE,0.94
Random,CFAP20,TRUE,0.783
Random,KCTD19,TRUE,0.74
Random,FGF11,TRUE,1.436
Random,MPDU1,TRUE,0.984
Random,MYO15A,TRUE,0.889
Random,ALKBH5,TRUE,0.19
Random,LGALS9C,TRUE,0.552
Random,WNK4,TRUE,0.929
Random,CFAP97D1,TRUE,0.992
Random,RUNDC3A,TRUE,0.912
Random,LRRC46,TRUE,0.94
Random,TACO1,TRUE,0.848
Random,ANAPC11,TRUE,0.785
Random,MNT,TRUE,0.619
Random,ALOX15,TRUE,1.117
Random,SPAG7,TRUE,0.916
Random,LRRC75A,TRUE,0.942
Random,GRAP,TRUE,1.351
Random,ALDH3A1,TRUE,1.246
Random,GIT1,TRUE,0.257
Random,KRT39,TRUE,1.102
Random,AARSD1,TRUE,1.122
Random,PTGES3L-AARSD1,TRUE,0.906
Random,PTGES3L-AARSD1,TRUE,0.924
Random,HOXB2,TRUE,1.649
Random,PRAC1,TRUE,1.838
Random,CHAD,TRUE,1.053
Random,ERN1,TRUE,0.498
Random,CDC42EP4,TRUE,1.577
Random,CIDEA,TRUE,1.027
Random,ASXL3,TRUE,0.229
Random,CDH20,TRUE,0.532
Random,NFATC1,TRUE,0.461
Random,SLC66A2,TRUE,1.262
Random,SAFB,TRUE,0.219
Random,ICAM5,TRUE,0.673
Random,POP4,TRUE,1.44
Random,GPI,TRUE,0.861
Random,SCN1B,TRUE,0.71
Random,TBCB,TRUE,1.073
Random,EIF3K,TRUE,1.041
Random,PAK4,TRUE,1.268
Random,PPFIA3,TRUE,0.264
Random,EPS8L1,TRUE,1.361
Random,KMT5C,TRUE,0.852
Random,TRAPPC2B,TRUE,1.302
Random,C19orf25,TRUE,1.935
Random,STAP2,TRUE,1.343
Random,OLFM2,TRUE,0.736
Random,LYL1,TRUE,1.236
Random,GDF1,TRUE,1.972
Random,LGI4,TRUE,1.255
Random,VSIG10L,TRUE,1.269
Random,UBE2S,TRUE,0.752
Random,DEFB129,TRUE,1.476
Random,CDS2,TRUE,0.944
Random,ENTPD6,TRUE,0.949
Random,ACTL10,TRUE,1.947
Random,TGIF2-RAB5IF,TRUE,0.865
Random,SGK2,TRUE,1.001
Random,PCK1,TRUE,1.109
Random,CSNK2A1,TRUE,0.274
Random,SNRPB,TRUE,0.324
Random,ZNF343,TRUE,1.202
Random,TMX4,TRUE,1.246
Random,SEL1L2,TRUE,0.979
Random,DEFB119,TRUE,1.774
Random,CPNE1,TRUE,1.012
Random,WFDC5,TRUE,1.43
Random,WFDC5,TRUE,1.462
Random,SPATA25,TRUE,1.518
Random,IGSF5,TRUE,1.466
Random,PCP4,TRUE,1.495
Random,CYYR1,TRUE,1.526
Random,RANBP1,TRUE,0.762
Random,ZNF74,TRUE,1.184
Random,PPIL2,TRUE,0.828
Random,RNF185,TRUE,1.049
Random,NIPSNAP1,TRUE,0.678
Random,GAL3ST1,TRUE,0.773
Random,C1QTNF6,TRUE,1.256
Random,RPS19BP1,TRUE,1.266
Random,SLC25A17,TRUE,0.899
Random,KIAA0930,TRUE,0.837
Random,PKDREJ,TRUE,1.741
Random,DENND6B,TRUE,1.212
Random,LMF2,TRUE,1.674
