Gene
CENPS-CORT
KDM4A
CCDC24
LURAP1
GPX7
CTH
PRKACB
PKN2
RNPC3
OLFML3
PDE4DIP
CREB3L4
PMF1-BGLAP
SLAMF7
KIAA1614
PKP1
EDARADD
EXOSC10
PRAMEF10
ALDH4A1
SDC3
EVA1B
SLFNL1
P3H1
DEPDC1
PTGER3
ZNF644
SF3B4
S100A12
PBXIP1
PEX19
MPC2
RAB29
RD3
BATF3
NSL1
SLC30A6
SLC1A4
TET3
KDM3A
VWA3B
TMEM182
POLR1B
RABL2A
TNFAIP6
MYO1B
MOGAT1
KLHL30
NOL10
CCDC121
TPRKB
AUP1
GPAT2
SEMA4C
REV1
CHST10
BIN1
TTN
KANSL1L
ABCA12
MARCHF4
USP37
GBX2
AQP12B
ARIH2
IQCF3
SYNPR
GTF2E1
PARP15
PLXNA1
ABTB1
COPG1
IL20RB
RAP2B
TPRG1
HES1
EOMES
ALS2CL
PRSS45P
UQCRC1
USP19
MON1A
PSMD6
LMOD3
CGGBP1
ZNF80
FSTL1
ILDR1
SLC12A8
TXNRD3
WWTR1
CCDC39
MSANTD1
CC2D2A
PCDH7
UBE2K
ADGRL3
AFP
HELT
CTBP1
STX18
TMEM156
CORIN
CXCL11
TMEM150C
EIF4E
CASP6
MFAP3L
CLDN24
LRP2BP
CCDC110
TRIP13
NSA2
LVRN
PCDHA1
PCDHB2
PCDHGA9
PCDHGA11
STK32A
HMGXB3
TENM2
SEMA5A
UGT3A1
TRIM23
CDC23
HAND1
SYCP2L
SCGN
H4C11
MRPS18B
RNF5
SRSF3
KCNQ5
FAM229B
TPD52L1
UNC93A
HUS1B
ATP6V1G2
GPANK1
KIF6
PKHD1
HMGCLL1
RNGTT
SIM1
MAN1A1
RAET1L
THBS2
DYNLT2
NUP42
POU6F2
ZNF716
LAT2
SRRM3
ZKSCAN1
ORAI2
KMT2E
DUS4L
DNAJB9
TES
AKR1B10
STRA8
CUL1
MRM2
KDELR2
RAPGEF5
MLXIPL
GSAP
TMEM243
ABCB4
PON2
TRIM4
DOCK4
KDM7A
TMEM176B
SLC35G5
PKIA
INTS8
SPAG1
ODF1
RNF139
NKX3-1
TEX15
PURG
GGH
UBE2W
MRPS28
RMDN1
KLF10
TATDN1
DMRTA1
SPINK4
SEC61B
PAPPA
IZUMO3
SIGMAR1
BICD2
TEX10
FKBP15
CDC26
RAB14
UCK1
SEC16A
LCN6
ECHDC3
WASHC2C
NUDT13
TSPAN14
NOLC1
TRIM8
GSTO2
FAM171A1
FZD8
RHOBTB1
KCNMA1
SEC31B
CACUL1
FAM53B
OR51A7
OR52E4
LDHAL6A
EIF3M
PRRG4
HIPK3
PDHX
OR5T3
MYRF
ASRGL1
SART1
GAL
FOLR1
CLDN25
GRAMD1B
ROBO3
GLB1L2
IFITM3
OR52B2
PSMA1
KCNJ11
PTPN5
CHST1
AGBL2
C11orf98
HNRNPUL2
SLC22A24
CDCA5
LRRC32
MMP20
NXPE1
OR8B2
SMCO2
TSPAN11
TAMALIN
TARBP2
MBD6
SLC35E3
KCNMB4
THAP2
MYF6
MRPL42
ALDH2
LRRC43
EP400
CRACR2A
TAS2R14
KRT6A
KRT79
PYM1
AGAP2
POC1B-GALNT4
TMEM119
GCN1
DHX37
GTF3A
SERP2
BIVM
SKA3
PNP
EDDM3A
OR4E2
AKAP5
FNTB
SLC39A9
SRSF5
SLC7A8
ADAM20
CEP128
CDC42BPB
SNRPN
GOLGA8Q
KLF13
CHRNA7
GCHFR
PLA2G4B
LIPC
SLC51B
RCN2
IDH3A
TMED3
TJP1
MYO5C
INSYN1
IMP3
CIB2
KLHL25
NDUFB10
MLST8
AHSP
MT1M
TSNAXIP1
PRMT7
ATMIN
RPL13
PRSS33
CNGB1
CFAP20
KCTD19
FGF11
MPDU1
MYO15A
ALKBH5
LGALS9C
WNK4
CFAP97D1
RUNDC3A
LRRC46
TACO1
ANAPC11
MNT
ALOX15
SPAG7
LRRC75A
GRAP
ALDH3A1
GIT1
KRT39
AARSD1
PTGES3L-AARSD1
HOXB2
PRAC1
CHAD
ERN1
CDC42EP4
CIDEA
ASXL3
CDH20
NFATC1
SLC66A2
SAFB
ICAM5
POP4
GPI
SCN1B
TBCB
EIF3K
PAK4
PPFIA3
EPS8L1
KMT5C
TRAPPC2B
C19orf25
STAP2
OLFM2
LYL1
GDF1
LGI4
VSIG10L
UBE2S
DEFB129
CDS2
ENTPD6
ACTL10
TGIF2-RAB5IF
SGK2
PCK1
CSNK2A1
SNRPB
ZNF343
TMX4
SEL1L2
DEFB119
CPNE1
WFDC5
SPATA25
IGSF5
PCP4
CYYR1
RANBP1
ZNF74
PPIL2
RNF185
NIPSNAP1
GAL3ST1
C1QTNF6
RPS19BP1
SLC25A17
KIAA0930
PKDREJ
DENND6B
LMF2
ARSH
ZFX
CLIC4P3
RPL19P20
RNU6-50P
USP11
GAGE2A
GSPT2
MIR4536-2
RRAGB
AKIRIN1P2
OTUD6A
PABPC1L2B
RPS7P14
RNU6-995P
CYLC1
USP12PX
TUBB4BP8
MIR1264
RPL3P12
RTL8C
SNURFL
MAGEC3
MAGEA11
MAGEA8
CNGA2
MAGEA6-DT
VBP1
DHRSX
GPR143
LIMK2P1
VEGFD
FAM136GP
TAB3
OOEPP1
RNU6-202P
PORCN-DT
CBX1P1
CCNYL5
RBMXP5
RNU6-245P
DDX3P2
THAP12P1
KPNB1P1
NKAPP1
MIR450B
RENBP
TEX28P1
IKBKGP1
CTAG2
MIR1184-1
TSPY8
TSPY18P
SURF6P1
FAM224A
TXLNGY
ZNF885P
CDY11P
GOLGA6L11P
CDY1
TSPY12P
TRAPPC2P9
SEPTIN14P23
ELOCP24
OR4G4P
LINC01134
MDS2
TAF12-DT
LINC01226
SNORD38B
RNU4-61P
RNU6-877P
GOT2P1
SNORD45C
